conc,rain_setting,exp,rep,Attribute,Value
1,2,2,2,em_tskew,0.992227298
1,2,2,2,em_t,0.99047563
1,2,2,3,cloudy,0.982029974
1,2,2,3,umbrella,0.996281358
1,2,2,3,em_tskew,0.992631965
1,2,2,3,em_t,0.990341013
1,2,3,1,cloudy,0.982430534
1,2,3,1,umbrella,0.997907595
1,2,3,1,em_tskew,0.993171776
1,2,3,1,em_t,0.990879589
1,2,3,2,cloudy,0.984301942
1,2,3,2,umbrella,0.997771974
1,2,3,2,em_tskew,0.994252273
1,2,3,2,em_t,0.992227298
1,2,3,3,cloudy,0.980562622
1,2,3,3,umbrella,0.99479296
1,2,3,3,em_tskew,0.99398204
1,2,3,3,em_t,0.991283711
1,2,4,1,cloudy,0.982697664
1,2,4,1,umbrella,0.998993224
1,2,4,1,em_tskew,0.993711879
1,2,4,1,em_t,0.991553216
1,2,4,2,cloudy,0.982964865
1,2,4,2,umbrella,0.997500787
1,2,4,2,em_tskew,0.992092445
1,2,4,2,em_t,0.989937272
1,2,4,3,cloudy,0.98256409
1,2,4,3,umbrella,0.997094145
1,2,4,3,em_tskew,0.993306775
1,2,4,3,em_t,0.990341013
1,2,5,1,cloudy,0.984837274
1,2,5,1,umbrella,0.993306775
1,2,5,1,em_tskew,0.994252273
1,2,5,1,em_t,0.992092445
1,2,5,2,cloudy,0.983232138
1,2,5,2,umbrella,0.994928177
1,2,5,2,em_tskew,0.993711879
1,2,5,2,em_t,0.991687996
1,2,5,3,cloudy,0.984034384
1,2,5,3,umbrella,0.997771974
1,2,5,3,em_tskew,0.992497058
1,2,5,3,em_t,0.990744918
1,3,1,1,cloudy,0.927857368
1,3,1,1,umbrella,0.977102871
1,3,1,1,em_tskew,0.971142983
1,3,1,1,em_t,0.979230532
1,3,1,2,cloudy,0.920424263
1,3,1,2,umbrella,0.967715614
1,3,1,2,em_tskew,0.969955256
1,3,1,2,em_t,0.976306164
1,3,1,3,cloudy,0.920298753
1,3,1,3,umbrella,0.983365801
1,3,1,3,em_tskew,0.967978841
1,3,1,3,em_t,0.976438905
1,3,2,1,cloudy,0.92874294
1,3,2,1,umbrella,0.976571663
1,3,2,1,em_tskew,0.969691509
1,3,2,1,em_t,0.978565151
1,3,2,2,cloudy,0.919420625
1,3,2,2,umbrella,0.974847181
1,3,2,2,em_tskew,0.969296017
1,3,2,2,em_t,0.977767279
1,3,2,3,cloudy,0.918167492
1,3,2,3,umbrella,0.984569573
1,3,2,3,em_tskew,0.971935586
1,3,2,3,em_t,0.97909742
1,3,3,1,cloudy,0.919295241
1,3,3,1,umbrella,0.975510092
1,3,3,1,em_tskew,0.968505503
1,3,3,1,em_t,0.976704438
1,3,3,2,cloudy,0.928616382
1,3,3,2,umbrella,0.980829253
1,3,3,2,em_tskew,0.971407114
1,3,3,2,em_t,0.975908049
1,3,3,3,cloudy,0.927604492
1,3,3,3,umbrella,0.977501463
1,3,3,3,em_tskew,0.975908049
1,3,3,3,em_t,0.984569573
1,3,4,1,cloudy,0.92092646
1,3,4,1,umbrella,0.979496808
1,3,4,1,em_tskew,0.970746918
1,3,4,1,em_t,0.979230532
1,3,4,2,cloudy,0.918543267
1,3,4,2,umbrella,0.980562622
1,3,4,2,em_tskew,0.963251321
1,3,4,2,em_t,0.975642726
1,3,4,3,cloudy,0.925079238
1,3,4,3,umbrella,0.972199926
1,3,4,3,em_tskew,0.976040736
1,3,4,3,em_t,0.982163476
1,3,5,1,cloudy,0.923441236
1,3,5,1,umbrella,0.971803442
1,3,5,1,em_tskew,0.969691509
1,3,5,1,em_t,0.976040736
1,3,5,2,cloudy,0.922811949
1,3,5,2,umbrella,0.972861083
1,3,5,2,em_tskew,0.97127504
1,3,5,2,em_t,0.979629972
1,3,5,3,cloudy,0.930896884
1,3,5,3,umbrella,0.973390324
1,3,5,3,em_tskew,0.972199926
1,3,5,3,em_t,0.978964326
1,4,1,1,cloudy,0.798396591
1,4,1,1,umbrella,1.433595634
1,4,1,1,em_tskew,0.912049738
1,4,1,1,em_t,0.918919183
1,4,1,2,cloudy,0.817577259
1,4,1,2,umbrella,1.485893726
1,4,1,2,em_tskew,0.917041013
1,4,1,2,em_t,0.92874294
1,4,1,3,cloudy,0.810805224
1,4,1,3,umbrella,0.920424263
1,4,1,3,em_tskew,0.914167986
1,4,1,3,em_t,0.92444892
1,4,2,1,cloudy,0.802627281
1,4,2,1,umbrella,1.490322432
1,4,2,1,em_tskew,0.911427576
1,4,2,1,em_t,0.92545762
1,4,2,2,cloudy,0.810805224
1,4,2,2,umbrella,0.962989335
1,4,2,2,em_tskew,0.917541514
1,4,2,2,em_t,0.930770053
1,4,2,3,cloudy,0.805084834
1,4,2,3,umbrella,1.427950036
1,4,2,3,em_tskew,0.913295223
