conc,rain_setting,exp,rep,cloudy,umbrella,em_tskew,em_t,ddpcRquant
0.1,3,3,3,0.083272919,0.098715973,0.096455836,0.096565968,0.09036244
0.1,3,4,1,0.084523565,0.097667957,0.096455836,0.096676112,0.091731591
0.1,3,4,2,0.093926138,0.099212785,0.09629066,0.096565968,0.090855118
0.1,3,4,3,0.08349031,0.105027238,0.097006618,0.097171912,0.091128933
0.1,3,5,1,0.080288571,0.101755909,0.096841351,0.097171912,0.088558027
0.1,3,5,2,0.090526639,0.099157572,0.096235608,0.096565968,0.088558027
0.1,3,5,3,0.093541744,0.100262422,0.096345716,0.096841351,0.088503399
0.1,4,1,1,0.088121083,0.099930839,0.091128933,0.092499134,0.079584479
0.1,4,1,2,0.08213239,0.101700555,0.089924708,0.091731591,0.079313807
0.1,4,1,3,0.080126044,0.095795297,0.090855118,0.09145761,0.079746918
0.1,4,2,1,0.072355662,0.098495247,0.089432487,0.090745613,0.080342753
0.1,4,2,2,0.087084107,0.096731189,0.090471903,0.091841204,0.079584479
0.1,4,2,3,0.068385913,0.094365626,0.092170115,0.093157498,0.076503146
0.1,4,3,1,0.076179347,0.0927734,0.091019398,0.091950829,0.082566724
0.1,4,3,2,0.072947108,0.093541744,0.090855118,0.091731591,0.081155827
0.1,4,3,3,0.07015426,0.099765088,0.090252989,0.090964635,0.080613704
0.1,4,4,1,0.086320706,0.096400774,0.089760607,0.090745613,0.076503146
0.1,4,4,2,0.088503399,0.093431945,0.091128933,0.093212382,0.079259681
0.1,4,4,3,0.074669668,0.094200795,0.089323138,0.089815304,0.077745349
0.1,4,5,1,0.07197947,0.098936748,0.09036244,0.09244429,0.083001247
0.1,4,5,2,0.068600091,0.097723089,0.090526639,0.09162199,0.082349533
0.1,4,5,3,0.084251552,0.099654603,0.092115289,0.09376138,0.084251552
0.4,1,1,1,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,1,2,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,1,3,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,2,1,0.400029906,0.403018104,0.400029906,0.400029906,0.400029906
0.4,1,2,2,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,2,3,0.400029906,0.400104502,0.400029906,0.400029906,0.400104502
0.4,1,3,1,0.400029906,0.400701472,0.400029906,0.400029906,0.400029906
0.4,1,3,2,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,3,3,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,4,1,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,4,2,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,4,3,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,5,1,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,5,2,0.400029906,0.400029906,0.400029906,0.400029906,0.400029906
0.4,1,5,3,0.400029906,0.400104502,0.400029906,0.400029906,0.400104502
0.4,2,1,1,0.394747745,0.403841427,0.397124984,0.396753168,0.395564283
0.4,2,1,2,0.392450171,0.399657008,0.396455814,0.395861372,0.393487131
0.4,2,1,3,0.394821948,0.398539148,0.397571346,0.397273749,0.395044591
0.4,2,2,1,0.394006015,0.398539148,0.397422536,0.396381489,0.394599355
0.4,2,2,2,0.392450171,0.399507888,0.398092354,0.397199364,0.394970371
0.4,2,2,3,0.392228105,0.397720178,0.39682752,0.395861372,0.394080163
0.4,2,3,1,0.393931872,0.400626831,0.397496938,0.39682752,0.394450987
0.4,2,3,2,0.394080163,0.398092354,0.396678821,0.396381489,0.394970371
0.4,2,3,3,0.393635356,0.399507888,0.397794602,0.396455814,0.394228476
0.4,2,4,1,0.392894451,0.398166806,0.397124984,0.39630717,0.392894451
0.4,2,4,2,0.394154317,0.398837122,0.397422536,0.39660448,0.393857735
0.4,2,4,3,0.394376811,0.399284249,0.397720178,0.39682752,0.394228476
0.4,2,5,1,0.392968517,0.402943291,0.39682752,0.396084246,0.394376811
0.4,2,5,2,0.393487131,0.400925428,0.39705061,0.39630717,0.394006015
0.4,2,5,3,0.393931872,0.39906066,0.397422536,0.396678821,0.394525168
0.4,3,1,1,0.372151229,0.392228105,0.388386777,0.389345726,0.351190014
0.4,3,1,2,0.365355367,0.395638547,0.386913263,0.389493339,0.352754069
0.4,3,1,3,0.371281096,0.397720178,0.38941953,0.391340334,0.346371069
0.4,3,2,1,0.37258658,0.395787092,0.388607991,0.390527236,0.361113351
0.4,3,2,2,0.372078689,0.39906066,0.390379471,0.392968517,0.364923153
0.4,3,2,3,0.37353049,0.393709477,0.386250889,0.38868174,0.365427421
0.4,3,3,1,0.367952584,0.402344981,0.386692423,0.389271928,0.334633927
0.4,3,3,2,0.37099122,0.400029906,0.387134151,0.389124349,0.336662255
0.4,3,3,3,0.372151229,0.394080163,0.3878708,0.390157864,0.337222518
0.4,3,4,1,0.373748442,0.394821948,0.388829254,0.390822831,0.359607812
0.4,3,4,2,0.370556564,0.395638547,0.387723427,0.389271928,0.356317865
0.4,3,4,3,0.368602943,0.394896157,0.386324465,0.389345726,0.351474206
0.4,3,5,1,0.370339306,0.411055706,0.3880919,0.390527236,0.350692872
0.4,3,5,2,0.371208619,0.404965233,0.388755495,0.390305596,0.350692872
0.4,3,5,3,0.36838611,0.400701472,0.388386777,0.389198136,0.350550877
0.4,4,1,1,0.342349474,0.387281438,0.367374841,0.370122096,0.31477924
0.4,4,1,2,0.338835026,0.372949516,0.366436721,0.369687817,0.318278746
0.4,4,1,3,0.329198753,0.3878708,0.369036751,0.37353049,0.313410221
0.4,4,2,1,0.331216074,0.391044585,0.362118304,0.368458382,0.312111386
0.4,4,2,2,0.339466716,0.393116665,0.368892128,0.372006154,0.318278746
0.4,4,2,3,0.339115728,0.394821948,0.36607614,0.369977315,0.317042228
0.4,4,3,1,0.337993393,0.381626519,0.363627629,0.367663671,0.301848612
0.4,4,3,2,0.339326306,0.385221402,0.367735891,0.371136148,0.312384685
0.4,4,3,3,0.339677368,0.370266897,0.368024825,0.369760183,0.310268571
