conc,rain_setting,exp,rep,Attribute,Value
0.1,2,4,3,em_tskew,0.099820335
0.1,2,5,1,cloudy,0.098495247
0.1,2,5,1,ddpcRquant,0.098495247
0.1,2,5,1,umbrella,0.102143474
0.1,2,5,1,em_t,0.099047154
0.1,2,5,1,em_tskew,0.099157572
0.1,2,5,2,cloudy,0.096786269
0.1,2,5,2,ddpcRquant,0.098826354
0.1,2,5,2,umbrella,0.10020715
0.1,2,5,2,em_t,0.09954413
0.1,2,5,2,em_tskew,0.09954413
0.1,2,5,3,cloudy,0.097888501
0.1,2,5,3,ddpcRquant,0.098550424
0.1,2,5,3,umbrella,0.100262422
0.1,2,5,3,em_t,0.098936748
0.1,2,5,3,em_tskew,0.099047154
0.1,3,1,1,cloudy,0.083979614
0.1,3,1,1,ddpcRquant,0.089979414
0.1,3,1,1,umbrella,0.102198852
0.1,3,1,1,em_t,0.097392346
0.1,3,1,1,em_tskew,0.097392346
0.1,3,1,2,cloudy,0.09123848
0.1,3,1,2,ddpcRquant,0.089487167
0.1,3,1,2,umbrella,0.103695236
0.1,3,1,2,em_t,0.098164249
0.1,3,1,2,em_tskew,0.098109093
0.1,3,1,3,cloudy,0.083001247
0.1,3,1,3,ddpcRquant,0.089870004
0.1,3,1,3,umbrella,0.102309619
0.1,3,1,3,em_t,0.097061713
0.1,3,1,3,em_tskew,0.097061713
0.1,3,2,1,cloudy,0.084632391
0.1,3,2,1,ddpcRquant,0.090252989
0.1,3,2,1,umbrella,0.100538825
0.1,3,2,1,em_t,0.097447462
0.1,3,2,1,em_tskew,0.097006618
0.1,3,2,2,cloudy,0.093816296
0.1,3,2,2,ddpcRquant,0.091950829
0.1,3,2,2,umbrella,0.103196193
0.1,3,2,2,em_t,0.097006618
0.1,3,2,2,em_tskew,0.096621039
0.1,3,2,3,cloudy,0.079692769
0.1,3,2,3,ddpcRquant,0.089377811
0.1,3,2,3,umbrella,0.100428255
0.1,3,2,3,em_t,0.097667957
0.1,3,2,3,em_tskew,0.097502581
0.1,3,3,1,cloudy,0.092828262
0.1,3,3,1,ddpcRquant,0.09145761
0.1,3,3,1,umbrella,0.101755909
0.1,3,3,1,em_t,0.097612829
0.1,3,3,1,em_tskew,0.097612829
0.1,3,3,2,cloudy,0.0927734
0.1,3,3,2,ddpcRquant,0.089870004
0.1,3,3,2,umbrella,0.098991949
0.1,3,3,2,em_t,0.097061713
0.1,3,3,2,em_tskew,0.097061713
0.1,3,3,3,cloudy,0.093047741
